-DOCSTART-	_	_	O
gain	gain	NOUN	B-OBJ_NAME
?	?	PUNCT	O
Formulate	formulate	VERB	O
and	and	CCONJ	O
solve	solve	VERB	O
.	.	PUNCT	O
.	.	PUNC	O

A	a	DET	O
chemical	chemical	NOUN	O
plant	plant	NOUN	O
produces	produce	VERB	O
two	two	NUM	O
types	type	NOUN	O
of	of	ADP	O
compounds	compound	NOUN	O
,	,	PUNCT	O
Blenzoate	blenzoate	VERB	B-VAR
and	and	CCONJ	O
Alnolyte	alnolyte	NOUN	B-VAR
.	.	PUNCT	O
To	to	PART	O
produce	produce	VERB	O
each	each	DET	O
type	type	NOUN	O
of	of	ADP	O
compound	compound	NOUN	O
,	,	PUNCT	O
we	we	PRON	O
need	need	VERB	O
to	to	PART	O
use	use	VERB	O
both	both	CCONJ	O
an	an	DET	O
automatic	automatic	ADJ	O
device	device	NOUN	O
and	and	CCONJ	O
a	a	DET	O
human	human	NOUN	O
-	-	PUNCT	O
operated	operate	VERB	O
device	device	NOUN	O
.	.	PUNCT	O
On	on	ADP	O
a	a	DET	O
given	give	VERB	O
day	day	NOUN	O
,	,	PUNCT	O
each	each	DET	O
processing	processing	NOUN	O
device	device	NOUN	O
is	be	AUX	O
available	available	ADJ	O
for	for	ADP	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
500	500	NUM	B-LIMIT
minutes	minute	NOUN	O
.	.	PUNCT	O
To	to	PART	O
extract	extract	VERB	O
a	a	DET	O
package	package	NOUN	O
of	of	ADP	O
Blenzoate	blenzoate	VERB	B-VAR
,	,	PUNCT	O
it	it	PRON	O
takes	take	VERB	O
5	5	NUM	B-PARAM
minutes	minute	NOUN	O
of	of	ADP	O
processing	processing	NOUN	O
on	on	ADP	O
the	the	DET	O
automatic	automatic	ADJ	O
device	device	NOUN	O
and	and	CCONJ	O
4	4	NUM	B-PARAM
minutes	minute	NOUN	O
on	on	ADP	O
human	human	NOUN	O
-	-	PUNCT	O
operated	operate	VERB	O
device	device	NOUN	O
.	.	PUNCT	O
To	to	PART	O
extract	extract	VERB	O
a	a	DET	O
package	package	NOUN	O
of	of	ADP	O
Alnolyte	alnolyte	NOUN	B-VAR
,	,	PUNCT	O
the	the	DET	O
automatic	automatic	ADJ	O
device	device	NOUN	O
needs	need	VERB	O
to	to	PART	O
be	be	AUX	O
run	run	VERB	O
for	for	ADP	O
8	7	NUM	B-PARAM
minutes	minute	NOUN	O
and	and	CCONJ	O
the	the	DET	O
human	human	NOUN	O
-	-	PUNCT	O
operated	operate	VERB	O
device	device	NOUN	O
for	for	ADP	O
3	3	NUM	B-PARAM
minutes	minute	NOUN	O
.	.	PUNCT	O
The	the	DET	O
manufacturer	manufacturer	NOUN	O
can	can	AUX	O
sell	sell	VERB	O
a	a	DET	O
package	package	NOUN	O
of	of	ADP	O
Blenzoate	blenzoate	VERB	B-VAR
for	for	ADP	O
a	a	DET	O
tax_income	tax_income	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
7	7	NUM	B-PARAM
and	and	CCONJ	O
Alnolyte	alnolyte	NOUN	B-VAR
for	for	ADP	O
a	a	DET	O
tax_income	tax_income	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
10	10	NUM	B-PARAM
.	.	PUNCT	O
Assuming	assume	VERB	O
that	that	SCONJ	O
the	the	DET	O
plant	plant	NOUN	O
can	can	AUX	O
sell	sell	VERB	O
all	all	DET	O
the	the	DET	O
compounds	compound	NOUN	O
it	it	PRON	O
produces	produce	VERB	O
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
packages	package	NOUN	O
of	of	ADP	O
each	each	DET	O
type	type	NOUN	O
should	should	AUX	O
be	be	AUX	O
produced	produce	VERB	O
daily	daily	ADV	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
tax_income	tax_income	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
student	student	NOUN	O
group	group	NOUN	O
makes	make	VERB	O
oatmeal	oatmeal	PROPN	B-VAR
cookies	cookies	PROPN	I-VAR
and	and	CCONJ	O
chocolate	chocolate	NOUN	B-VAR
chip	chip	NOUN	I-VAR
cookies	cookie	NOUN	I-VAR
.	.	PUNCT	O
To	to	PART	O
make	make	VERB	O
a	a	DET	O
batch	batch	NOUN	O
of	of	ADP	O
oatmeal	oatmeal	PROPN	B-VAR
cookies	cookies	PROPN	I-VAR
,	,	PUNCT	O
it	it	PRON	O
take	take	VERB	O
12	10	NUM	B-PARAM
minutes	minute	NOUN	O
to	to	PART	O
gather	gather	VERB	O
the	the	DET	O
ingredients	ingredient	NOUN	O
,	,	PUNCT	O
20	20	NUM	B-PARAM
minutes	minute	NOUN	O
to	to	PART	O
mix	mix	VERB	O
them	they	PRON	O
,	,	PUNCT	O
and	and	CCONJ	O
42	50	NUM	B-PARAM
minutes	minute	NOUN	O
for	for	ADP	O
baking	baking	NOUN	O
.	.	PUNCT	O
To	to	PART	O
make	make	VERB	O
a	a	DET	O
batch	batch	NOUN	O
of	of	ADP	O
chocolate	chocolate	NOUN	B-VAR
chip	chip	NOUN	I-VAR
cookies	cookie	NOUN	I-VAR
,	,	PUNCT	O
it	it	PRON	O
takes	take	VERB	O
8	8	NUM	B-PARAM
minutes	minute	NOUN	O
to	to	PART	O
gather	gather	VERB	O
the	the	DET	O
ingredients	ingredient	NOUN	O
,	,	PUNCT	O
18	15	NUM	B-PARAM
minutes	minute	NOUN	O
to	to	PART	O
mix	mix	VERB	O
them	they	PRON	O
,	,	PUNCT	O
and	and	CCONJ	O
30	30	NUM	B-PARAM
minutes	minute	NOUN	O
for	for	ADP	O
baking	baking	NOUN	O
.	.	PUNCT	O
Per	per	ADP	O
week	week	NOUN	O
,	,	PUNCT	O
the	the	DET	O
group	group	NOUN	O
has	have	VERB	B-CONST_DIR
988	1000	NUM	B-LIMIT
minutes	minute	NOUN	O
to	to	PART	O
gather	gather	VERB	O
ingredients	ingredient	NOUN	O
,	,	PUNCT	O
1200	1200	NUM	B-LIMIT
minutes	minute	NOUN	O
for	for	ADP	O
mixing	mixing	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
2981	3000	NUM	B-LIMIT
minutes	minute	NOUN	O
for	for	ADP	O
baking	baking	NOUN	O
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
profits	profits	NOUN	B-OBJ_NAME
per	per	ADP	O
batch	batch	NOUN	O
of	of	ADP	O
oatmeal	oatmeal	PROPN	B-VAR
cookies	cookies	PROPN	I-VAR
is	be	AUX	O
$	$	SYM	O
10	12	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
profits	profits	NOUN	B-OBJ_NAME
per	per	ADP	O
batch	batch	NOUN	O
of	of	ADP	O
chocolate	chocolate	NOUN	B-VAR
chip	chip	NOUN	I-VAR
cookies	cookie	NOUN	I-VAR
is	be	VERB	O
$	$	SYM	O
15	15	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
batches	batch	NOUN	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
be	be	AUX	O
made	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profits	profits	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

Lisa	Lisa	PROPN	O
can	can	AUX	O
invest	invest	VERB	O
in	in	ADP	O
crypto	crypto	NOUN	B-VAR
-	-	PUNCT	I-VAR
currency	currency	NOUN	I-VAR
and	and	CCONJ	O
NFTs	nft	NOUN	B-VAR
up	up	ADP	B-CONST_DIR
to	to	PART	I-CONST_DIR
$	$	SYM	O
5000	5000	NUM	B-LIMIT
.	.	PUNCT	O
Each	each	DET	O
dollar	dollar	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
crypto	crypto	NOUN	B-VAR
-	-	PUNCT	I-VAR
currency	currency	NOUN	I-VAR
yields	yield	NOUN	O
$	$	SYM	O
0.30	0.30	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
,	,	PUNCT	O
and	and	CCONJ	O
each	each	DET	O
dollar	dollar	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
a	a	DET	O
NFTs	nft	NOUN	B-VAR
yields	yield	VERB	O
$	$	SYM	O
0.40	0.40	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
.	.	PUNCT	O
A	a	DET	O
minimum	minimum	NOUN	B-CONST_DIR
of	of	ADP	O
25	25	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
of	of	ADP	O
all	all	DET	O
money	money	NOUN	O
invested	invest	VERB	O
must	must	AUX	O
be	be	VERB	O
in	in	ADP	O
crypto	crypto	NOUN	B-VAR
-	-	PUNCT	I-VAR
currency	currency	NOUN	I-VAR
,	,	PUNCT	O
and	and	CCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
$	$	SYM	O
2046	2300	NUM	B-LIMIT
must	must	AUX	O
be	be	VERB	O
in	in	ADP	O
NFTs	nft	NOUN	B-VAR
.	.	PUNCT	O
How	how	ADV	O
can	can	AUX	O
Lisa	Lisa	PROPN	O
maximize	maximize	VERB	B-OBJ_DIR
her	her	PRON	O
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

Bob	Bob	PROPN	O
has	have	VERB	O
a	a	DET	O
small	small	ADJ	O
coffee	coffee	NOUN	O
shop	shop	NOUN	O
.	.	PUNCT	O
He	he	PRON	O
mainly	mainly	ADV	O
sells	sell	VERB	O
cups	cup	NOUN	O
of	of	ADP	O
tea	tea	NOUN	B-VAR
and	and	CCONJ	O
coffee	coffee	NOUN	B-VAR
.	.	PUNCT	O
It	it	PRON	O
takes	take	VERB	O
6	5	NUM	B-PARAM
minutes	minute	NOUN	O
to	to	PART	O
make	make	VERB	O
a	a	DET	O
cup	cup	NOUN	O
of	of	ADP	O
tea	tea	NOUN	B-VAR
and	and	CCONJ	O
3	3	NUM	B-PARAM
minutes	minute	NOUN	O
to	to	PART	O
make	make	VERB	O
a	a	DET	O
cup	cup	NOUN	O
of	of	ADP	O
coffee	coffee	NOUN	B-VAR
.	.	PUNCT	O
Bob	Bob	PROPN	O
only	only	ADV	B-CONST_DIR
has	have	VERB	O
500	500	NUM	B-LIMIT
minutes	minute	NOUN	O
a	a	DET	O
week	week	NOUN	O
to	to	PART	O
make	make	VERB	O
drinks	drink	NOUN	O
(	(	PUNCT	O
tea	tea	NOUN	B-VAR
and	and	CCONJ	O
coffee	coffee	NOUN	B-VAR
)	)	PUNCT	O
.	.	PUNCT	O
In	in	ADP	O
addition	addition	NOUN	O
,	,	PUNCT	O
Bob	Bob	PROPN	O
only	only	ADV	B-CONST_DIR
has	have	VERB	O
enough	enough	ADJ	O
product	product	NOUN	O
to	to	PART	O
make	make	VERB	O
348	300	NUM	B-LIMIT
total	total	ADJ	O
cups	cup	NOUN	O
per	per	ADP	O
week	week	NOUN	O
.	.	PUNCT	O
He	he	PRON	O
makes	make	VERB	O
a	a	DET	O
net_profit	net_profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
1	1	NUM	B-PARAM
on	on	ADP	O
each	each	DET	O
cup	cup	NOUN	O
of	of	ADP	O
tea	tea	NOUN	B-VAR
and	and	CCONJ	O
a	a	DET	O
net_profit	net_profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
2	2	NUM	B-PARAM
on	on	ADP	O
each	each	DET	O
cup	cup	NOUN	O
of	of	ADP	O
coffee	coffee	NOUN	B-VAR
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
cups	cup	NOUN	O
of	of	ADP	O
tea	tea	NOUN	B-VAR
and	and	CCONJ	O
coffee	coffee	NOUN	B-VAR
should	should	AUX	O
Bob	Bob	PROPN	O
make	make	VERB	O
each	each	DET	O
week	week	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
net_profit	net_profit	NOUN	B-OBJ_NAME
,	,	PUNCT	O
assuming	assume	VERB	O
he	he	PRON	O
sells	sell	VERB	O
all	all	DET	O
his	his	PRON	O
cups	cup	NOUN	O
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
pharmacist	pharmacist	NOUN	O
wants	want	VERB	O
to	to	PART	O
mix	mix	VERB	O
two	two	NUM	O
drugs	drug	NOUN	O
in	in	ADP	O
such	such	DET	O
a	a	DET	O
way	way	NOUN	O
to	to	PART	O
create	create	VERB	O
a	a	DET	O
mixture	mixture	NOUN	O
that	that	DET	O
contains	contain	VERB	O
at	at	ADP	B-CONST_DIR
least	least	ADJ	I-CONST_DIR
4	5	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
pain	pain	NOUN	O
killer	killer	NOUN	O
and	and	CCONJ	O
12	12	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
fever	fever	NOUN	O
reliever	reliever	NOUN	O
.	.	PUNCT	O
The	the	DET	O
amount	amount	NOUN	O
of	of	ADP	O
pain	pain	NOUN	O
killer	killer	NOUN	O
and	and	CCONJ	O
fever	fever	VERB	O
reliever	reliever	NOUN	O
in	in	ADP	O
drug	drug	NOUN	B-VAR
B	b	NOUN	I-VAR
is	be	AUX	O
3	3	NUM	B-PARAM
units	unit	NOUN	O
/	/	SYM	O
mg	mg	ADP	O
and	and	CCONJ	O
2.5	2.5	NUM	B-PARAM
units	unit	NOUN	O
/	/	SYM	O
mg	mg	ADV	O
respectively	respectively	ADV	O
.	.	PUNCT	O
On	on	ADP	O
the	the	DET	O
other	other	ADJ	O
hand	hand	NOUN	O
,	,	PUNCT	O
the	the	DET	O
amount	amount	NOUN	O
of	of	ADP	O
pain	pain	NOUN	O
killer	killer	NOUN	O
and	and	CCONJ	O
fever	fever	VERB	O
reliever	reliever	NOUN	O
in	in	ADP	O
drug	drug	NOUN	B-VAR
A	a	NOUN	I-VAR
is	be	AUX	O
2	2	NUM	B-PARAM
units	unit	NOUN	O
/	/	SYM	O
mg	mg	INTJ	O
and	and	CCONJ	O
40.0096	3.5	NUM	B-PARAM
units	unit	NOUN	O
/	/	SYM	O
mg	mg	ADV	O
respectively	respectively	ADV	O
.	.	PUNCT	O
It	it	PRON	O
cost	cost	VERB	B-OBJ_NAME
$	$	SYM	O
00.37	0.50	NUM	B-PARAM
per	per	ADP	O
mg	mg	ADP	O
to	to	PART	O
purchase	purchase	VERB	O
drug	drug	NOUN	B-VAR
B.	B.	PROPN	I-VAR
and	and	CCONJ	O
$	$	SYM	O
00.9	0.30	NUM	B-PARAM
per	per	ADP	O
mg	mg	ADP	O
to	to	PART	O
purchase	purchase	VERB	O
drug	drug	NOUN	B-VAR
A	a	NOUN	I-VAR
Formulate	Formulate	PROPN	O
a	a	DET	O
LP	LP	PROPN	O
to	to	PART	O
minimize	minimize	VERB	B-OBJ_DIR
cost	cost	NOUN	B-OBJ_NAME
of	of	ADP	O
such	such	DET	O
a	a	DET	O
mixture	mixture	NOUN	O
.	.	PUNCT	O
.	.	PUNC	O

A	a	DET	O
farmer	farmer	NOUN	O
must	must	AUX	O
allocate	allocate	VERB	O
his	his	PRON	O
farming	farming	NOUN	O
equipment	equipment	NOUN	O
between	between	ADP	O
his	his	PRON	O
two	two	NUM	O
farms	farm	NOUN	O
,	,	PUNCT	O
a	a	DET	O
carrot	carrot	NOUN	B-VAR
farm	farm	NOUN	I-VAR
and	and	CCONJ	O
a	a	DET	O
beets	beet	NOUN	B-VAR
.	.	PUNCT	O
The	the	DET	O
taxation	taxation	NOUN	B-OBJ_NAME
per	per	ADP	O
acre	acre	NOUN	O
of	of	ADP	O
carrot	carrot	NOUN	B-VAR
farm	farm	NOUN	I-VAR
is	be	AUX	O
$	$	SYM	O
207	200	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
taxation	taxation	NOUN	B-OBJ_NAME
per	per	ADP	O
acre	acre	NOUN	O
of	of	ADP	O
beets	beet	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
340	340	NUM	B-PARAM
.	.	PUNCT	O
He	he	PRON	O
has	have	VERB	O
one	one	NUM	O
tractor	tractor	NOUN	O
,	,	PUNCT	O
one	one	NUM	O
plow	plow	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
one	one	NUM	O
combine	combine	NOUN	O
.	.	PUNCT	O
Each	each	DET	O
equipment	equipment	NOUN	O
can	can	AUX	B-CONST_DIR
be	be	AUX	I-CONST_DIR
used	use	VERB	I-CONST_DIR
for	for	ADP	I-CONST_DIR
10	10	NUM	B-LIMIT
hours	hour	NOUN	O
a	a	DET	O
day	day	NOUN	O
divided	divide	VERB	O
in	in	ADP	O
any	any	DET	O
way	way	NOUN	O
between	between	ADP	O
his	his	PRON	O
two	two	NUM	O
farms	farm	NOUN	O
.	.	PUNCT	O
On	on	ADP	O
his	his	PRON	O
carrots	carrot	NOUN	B-VAR
,	,	PUNCT	O
harvesting	harvest	VERB	O
an	an	DET	O
acre	acre	NOUN	O
of	of	ADP	O
carrots	carrot	NOUN	B-VAR
requires	require	VERB	O
0.6	0.6	NUM	B-PARAM
hours	hour	NOUN	O
on	on	ADP	O
the	the	DET	O
tractor	tractor	NOUN	O
,	,	PUNCT	O
00.48	0.3	NUM	B-PARAM
hours	hour	NOUN	O
on	on	ADP	O
the	the	DET	O
plow	plow	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
00.018	0.2	NUM	B-PARAM
hours	hour	NOUN	O
on	on	ADP	O
the	the	DET	O
combine	combine	NOUN	O
.	.	PUNCT	O
On	on	ADP	O
his	his	PRON	O
beets	beet	NOUN	B-VAR
,	,	PUNCT	O
harvesting	harvest	VERB	O
an	an	DET	O
acre	acre	NOUN	O
of	of	ADP	O
beets	beet	NOUN	B-VAR
requires	require	VERB	O
00.37	0.7	NUM	B-PARAM
hours	hour	NOUN	O
on	on	ADP	O
the	the	DET	O
tractor	tractor	NOUN	O
,	,	PUNCT	O
00.95	0.25	NUM	B-PARAM
hours	hour	NOUN	O
on	on	ADP	O
the	the	DET	O
plow	plow	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
00.74	0.1	NUM	B-PARAM
hours	hour	NOUN	O
on	on	ADP	O
the	the	DET	O
combine	combine	NOUN	O
.	.	PUNCT	O
How	how	ADV	O
should	should	AUX	O
the	the	DET	O
farmer	farmer	NOUN	O
allocate	allocate	VERB	O
his	his	PRON	O
equipment	equipment	NOUN	O
between	between	ADP	O
his	his	PRON	O
farms	farm	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
his	his	PRON	O
taxation	taxation	NOUN	B-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

A	a	DET	O
wine	wine	NOUN	O
company	company	NOUN	O
offers	offer	VERB	O
two	two	NUM	O
promotion	promotion	NOUN	O
packages	package	NOUN	O
,	,	PUNCT	O
package	package	NOUN	B-VAR
B.	B.	PROPN	I-VAR
and	and	CCONJ	O
package	package	NOUN	B-VAR
A	a	NOUN	I-VAR
Each	each	DET	O
promotion	promotion	NOUN	O
package	package	NOUN	O
consists	consist	VERB	O
of	of	ADP	O
some	some	DET	O
combination	combination	NOUN	O
of	of	ADP	O
red	red	ADJ	O
and	and	CCONJ	O
white	white	ADJ	O
wines	wine	NOUN	O
.	.	PUNCT	O
package	package	NOUN	B-VAR
B	b	NOUN	I-VAR
has	have	VERB	O
1	2	NUM	B-PARAM
bottles	bottle	NOUN	O
of	of	ADP	O
red	red	ADJ	O
wine	wine	NOUN	O
and	and	CCONJ	O
1	1	NUM	B-PARAM
bottle	bottle	NOUN	O
of	of	ADP	O
white	white	ADJ	O
wine	wine	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
yields	yield	VERB	O
a	a	DET	O
net_profit	net_profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
97	120	NUM	B-PARAM
.	.	PUNCT	O
In	in	ADP	O
comparison	comparison	NOUN	O
,	,	PUNCT	O
Package	package	NOUN	B-VAR
A	a	NOUN	I-VAR
has	have	VERB	O
1	2	NUM	B-PARAM
bottles	bottle	NOUN	O
of	of	ADP	O
red	red	ADJ	O
wine	wine	NOUN	O
and	and	CCONJ	O
2	3	NUM	B-PARAM
bottles	bottle	NOUN	O
of	of	ADP	O
white	white	ADJ	O
wine	wine	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
yields	yield	VERB	O
a	a	DET	O
net_profit	net_profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
183	200	NUM	B-PARAM
.	.	PUNCT	O
However	however	ADV	O
,	,	PUNCT	O
the	the	DET	O
company	company	NOUN	O
only	only	ADV	B-CONST_DIR
has	have	VERB	O
1000	1000	NUM	B-LIMIT
bottles	bottle	NOUN	O
of	of	ADP	O
red	red	ADJ	O
wine	wine	NOUN	O
and	and	CCONJ	O
953	800	NUM	B-LIMIT
bottles	bottle	NOUN	O
of	of	ADP	O
white	white	ADJ	O
wine	wine	NOUN	O
.	.	PUNCT	O
Find	find	VERB	O
the	the	DET	O
best	good	ADJ	O
mix	mix	NOUN	O
of	of	ADP	O
packages	package	NOUN	O
to	to	PART	O
achieve	achieve	VERB	O
maximum	maximum	ADJ	B-OBJ_DIR
net_profit	net_profit	NOUN	B-OBJ_NAME
.	.	PUNCT	O
.	.	PUNC	O

A	a	DET	O
candy	candy	NOUN	O
company	company	NOUN	O
makes	make	VERB	O
3	3	NUM	O
different	different	ADJ	O
sized	sized	ADJ	O
gift	gift	NOUN	O
boxes	box	NOUN	O
:	:	PUNCT	O
small	small	ADJ	O
,	,	PUNCT	O
medium	medium	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
large	large	ADJ	O
.	.	PUNCT	O
These	these	DET	O
gift	gift	NOUN	O
boxes	box	NOUN	O
are	be	AUX	O
made	make	VERB	O
by	by	ADP	O
their	their	PRON	O
flagship	flagship	NOUN	B-VAR
store	store	NOUN	I-VAR
and	and	CCONJ	O
mall	mall	NOUN	B-VAR
kiosk	kiosk	PROPN	I-VAR
location	location	NOUN	O
.	.	PUNCT	O
The	the	DET	O
flagship	flagship	NOUN	B-VAR
store	store	NOUN	I-VAR
monetary_value	monetary_value	VERB	B-OBJ_NAME
$	$	SYM	O
150	150	NUM	B-PARAM
to	to	PART	O
operate	operate	VERB	O
per	per	ADP	O
hour	hour	NOUN	O
and	and	CCONJ	O
can	can	AUX	O
make	make	VERB	O
5	5	NUM	B-PARAM
small	small	ADJ	O
gift	gift	NOUN	O
boxes	box	NOUN	O
,	,	PUNCT	O
7	6	NUM	B-PARAM
medium	medium	NOUN	O
gift	gift	NOUN	O
boxes	box	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
2	2	NUM	B-PARAM
large	large	ADJ	O
gift	gift	NOUN	O
boxes	box	NOUN	O
in	in	ADP	O
that	that	DET	O
hour	hour	NOUN	O
.	.	PUNCT	O
The	the	DET	O
mall	mall	NOUN	B-VAR
kiosk	kiosk	PROPN	I-VAR
monetary_value	monetary_value	VERB	B-OBJ_NAME
$	$	SYM	O
500	500	NUM	B-PARAM
to	to	PART	O
operate	operate	VERB	O
per	per	ADP	O
hour	hour	NOUN	O
and	and	CCONJ	O
can	can	AUX	O
make	make	VERB	O
10	10	NUM	B-PARAM
small	small	ADJ	O
gift	gift	NOUN	O
boxes	box	NOUN	O
,	,	PUNCT	O
15	15	NUM	B-PARAM
medium	medium	NOUN	O
gift	gift	NOUN	O
boxes	box	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
7	9	NUM	B-PARAM
large	large	ADJ	O
gift	gift	NOUN	O
boxes	box	NOUN	O
in	in	ADP	O
that	that	DET	O
hour	hour	NOUN	O
.	.	PUNCT	O
To	to	PART	O
meet	meet	VERB	O
demands	demand	NOUN	O
,	,	PUNCT	O
the	the	DET	O
company	company	NOUN	O
must	must	AUX	O
make	make	VERB	O
a	a	DET	O
minimum	minimum	NOUN	B-CONST_DIR
of	of	ADP	O
80	80	NUM	B-LIMIT
small	small	ADJ	O
gift	gift	NOUN	O
boxes	box	NOUN	O
,	,	PUNCT	O
100	100	NUM	B-LIMIT
medium	medium	ADJ	O
gift	gift	NOUN	O
boxes	box	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
52	50	NUM	B-LIMIT
large	large	ADJ	O
gift	gift	NOUN	O
boxes	box	NOUN	O
per	per	ADP	O
day	day	NOUN	O
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	LP	PROPN	O
to	to	PART	O
minimize	minimize	VERB	B-OBJ_DIR
monetary_value	monetary_value	NOUN	B-OBJ_NAME
.	.	PUNCT	O
.	.	PUNC	O

A	a	DET	O
keyboard	keyboard	NOUN	O
company	company	NOUN	O
produces	produce	VERB	O
two	two	NUM	O
types	type	NOUN	O
of	of	ADP	O
analog	analog	ADJ	O
synthesizer	synthesizer	NOUN	O
keyboards	keyboard	NOUN	O
,	,	PUNCT	O
one	one	NUM	O
with	with	ADP	O
81	81	NUM	B-VAR
keys	key	NOUN	I-VAR
and	and	CCONJ	O
another	another	DET	O
with	with	ADP	O
61	61	NUM	B-VAR
key	key	ADJ	I-VAR
version	version	NOUN	I-VAR
.	.	PUNCT	O
Both	both	DET	O
keyboards	keyboard	NOUN	O
are	be	AUX	O
sell	sell	VERB	B-OBJ_NAME
for	for	ADP	O
$	$	SYM	O
1690	1500	NUM	B-PARAM
and	and	CCONJ	O
$	$	SYM	O
2395	2500	NUM	B-PARAM
respectively	respectively	ADV	O
.	.	PUNCT	O
There	there	PRON	O
are	be	AUX	O
about	about	ADV	O
3000	3000	NUM	B-LIMIT
oscillator	oscillator	NOUN	O
chips	chip	NOUN	O
available	available	ADJ	B-CONST_DIR
every	every	DET	O
day	day	NOUN	O
from	from	ADP	O
which	which	DET	O
the	the	DET	O
81	81	NUM	B-VAR
key	key	ADJ	I-VAR
version	version	NOUN	I-VAR
requires	require	VERB	O
8	8	NUM	B-PARAM
chips	chip	NOUN	O
while	while	SCONJ	O
the	the	DET	O
61	61	NUM	B-VAR
keys	key	NOUN	I-VAR
requires	require	VERB	O
16	16	NUM	B-PARAM
chips	chip	NOUN	O
.	.	PUNCT	O
The	the	DET	O
company	company	NOUN	O
has	have	VERB	O
a	a	DET	O
total	total	ADJ	B-CONST_DIR
8	8	NUM	B-LIMIT
working	working	NOUN	O
hours	hour	NOUN	O
a	a	DET	O
day	day	NOUN	O
.	.	PUNCT	O
Both	both	DET	O
of	of	ADP	O
these	these	DET	O
synthesizers	synthesizer	NOUN	O
require	require	VERB	O
a	a	DET	O
production	production	NOUN	O
time	time	NOUN	O
of	of	ADP	O
1.5	1.5	NUM	B-PARAM
hours	hour	NOUN	O
.	.	PUNCT	O
What	what	PRON	O
should	should	AUX	O
be	be	VERB	O
the	the	DET	O
manufacturing	manufacturing	NOUN	O
quantity	quantity	NOUN	O
for	for	ADP	O
each	each	DET	O
of	of	ADP	O
the	the	DET	O
keyboards	keyboard	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
total	total	ADJ	B-OBJ_NAME
revenue	revenue	NOUN	I-OBJ_NAME
?	?	PUNCT	O
.	.	PUNC	O

Fiber	fiber	NOUN	O
and	and	CCONJ	O
iron	iron	NOUN	O
can	can	AUX	O
be	be	AUX	O
obtained	obtain	VERB	O
in	in	ADP	O
two	two	NUM	O
supplement	supplement	ADJ	O
drinks	drink	NOUN	O
.	.	PUNCT	O
One	one	NUM	O
is	be	AUX	O
apple	apple	NOUN	B-VAR
flavored	flavor	VERB	I-VAR
drink	drink	NOUN	I-VAR
and	and	CCONJ	O
